Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
sample_44.trimmed.R2.v1	sample_44.trimmed.R2.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	160598293.0	0.0	50-157	50.0	18.86644909357879	153.82760504808104	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
sample_45.trimmed.R1.v1	sample_45.trimmed.R1.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1880103.0	0.0	50-157	52.0	47.77130238592334	154.24775451132197	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	fail
sample_45.trimmed.R2.v1	sample_45.trimmed.R2.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1880103.0	0.0	50-157	51.0	52.857218398065385	154.19344259330472	pass	pass	pass	fail	fail	pass	warn	warn	warn	pass	fail
sample_46.trimmed.R1.v1	sample_46.trimmed.R1.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	85608161.0	0.0	50-157	50.0	21.943678175442543	154.04885651030398	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	fail
sample_46.trimmed.R2.v1	sample_46.trimmed.R2.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	85608161.0	0.0	50-157	50.0	26.02553105359332	153.996025600877	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
sample_47.trimmed.R1.v1	sample_47.trimmed.R1.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100109672.0	0.0	50-157	51.0	19.43264614248798	153.6824257000862	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	fail
sample_47.trimmed.R2.v1	sample_47.trimmed.R2.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100109672.0	0.0	50-157	51.0	22.440360120945037	153.6453445177605	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
sample_48.trimmed.R1.v1	sample_48.trimmed.R1.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	87479564.0	0.0	50-157	52.0	19.75869907662333	153.8330893144369	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	fail
sample_48.trimmed.R2.v1	sample_48.trimmed.R2.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	87479564.0	0.0	50-157	51.0	24.43045010443616	153.78814280555858	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
sample_49.trimmed.R1.v1	sample_49.trimmed.R1.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	96920419.0	0.0	50-157	52.0	19.335740447159434	152.2684679788683	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	fail
sample_49.trimmed.R2.v1	sample_49.trimmed.R2.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	96920419.0	0.0	50-157	51.0	22.68897831511576	152.24042788135284	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
sample_5.trimmed.R1.v1	sample_5.trimmed.R1.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	76991790.0	0.0	50-157	51.0	19.997931280514763	153.14906881629847	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	fail
sample_5.trimmed.R2.v1	sample_5.trimmed.R2.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	76991790.0	0.0	50-157	50.0	23.832128616525388	153.09893380839696	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
sample_50.trimmed.R1.v1	sample_50.trimmed.R1.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	99525856.0	0.0	50-157	51.0	18.545592869331877	151.8080174763832	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	fail
sample_50.trimmed.R2.v1	sample_50.trimmed.R2.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	99525856.0	0.0	50-157	51.0	22.176696552531965	151.75394459305127	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
sample_51.trimmed.R1.v1	sample_51.trimmed.R1.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	109193305.0	0.0	50-157	51.0	17.726659837113843	152.25293911563534	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	fail
sample_51.trimmed.R2.v1	sample_51.trimmed.R2.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	109193305.0	0.0	50-157	50.0	20.65408181385556	152.1946772835569	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
sample_52.trimmed.R1.v1	sample_52.trimmed.R1.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	95558815.0	0.0	50-157	51.0	20.67805287002663	152.1157208782884	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	fail
sample_52.trimmed.R2.v1	sample_52.trimmed.R2.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	95558815.0	0.0	50-157	50.0	23.78859880864828	152.084429154966	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
sample_53.trimmed.R1.v1	sample_53.trimmed.R1.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	136143560.0	0.0	50-157	52.0	17.330735103114478	152.5707030064441	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	fail
sample_53.trimmed.R2.v1	sample_53.trimmed.R2.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	136143560.0	0.0	50-157	51.0	20.766717604065313	152.5201795296083	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
sample_54.trimmed.R1.v1	sample_54.trimmed.R1.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	132575109.0	0.0	50-157	51.0	17.78991710055537	151.5383750429351	pass	pass	pass	warn	fail	pass	warn	fail	warn	pass	fail
sample_54.trimmed.R2.v1	sample_54.trimmed.R2.v1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	132575109.0	0.0	50-157	50.0	20.941421622150013	151.49319885529945	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
